PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance
PO-00001,AlphaSupplies,2024-01-30,2024-02-12,Raw Materials,Delivered,124,140.83,133.11,3,Compliant
PO-00002,DeltaWorks,2022-01-31,2022-02-08,Raw Materials,Delivered,129,120.76,116.12,17,Non-Compliant
PO-00003,DeltaWorks,2023-04-05,,Packaging,Pending,424,38.56,35.36,77,Compliant
PO-00004,DeltaWorks,2022-10-12,,Electronics,Pending,500,509.62,487.2,12,Compliant
PO-00005,GammaTrade,2023-09-11,2023-10-22,Electronics,Delivered,32,546.81,517.39,0,Non-Compliant
PO-00006,GammaTrade,2024-06-25,2024-07-06,Consumables,Delivered,305,21.79,19.45,1,Compliant
PO-00007,AlphaSupplies,2024-06-06,2024-07-06,Packaging,Delivered,152,42.2,40.55,0,Compliant
PO-00008,AlphaSupplies,2023-10-13,2023-11-18,Consumables,Delivered,383,20.64,19.7,5,Non-Compliant
PO-00009,EpsilonMfg,2023-12-03,2023-12-24,Packaging,Delivered,403,40.58,38.18,6,Compliant
PO-00010,AlphaSupplies,2023-08-04,2023-09-11,Packaging,Delivered,171,39.55,35.24,2,Compliant
PO-00011,GammaTrade,2022-09-10,2022-10-24,Packaging,Delivered,285,36.91,33.33,9,Compliant
PO-00012,BetaCorp,2023-05-21,,Consumables,Cancelled,34,20.02,19.26,0,Compliant
PO-00013,DeltaWorks,2022-03-07,,Consumables,Pending,315,18.25,17.07,40,Non-Compliant
PO-00014,AlphaSupplies,2023-11-30,2023-12-28,Raw Materials,Delivered,394,139.03,123.79,1,Compliant
PO-00015,GammaTrade,2024-02-20,2024-03-17,Consumables,Delivered,477,21.22,20.24,32,Compliant
PO-00016,GammaTrade,2023-07-07,2023-07-14,Packaging,Delivered,482,39.32,34.77,23,Compliant
PO-00017,GammaTrade,2022-09-03,2022-09-15,Electronics,Delivered,459,505.45,487.66,3,Compliant
PO-00018,EpsilonMfg,2022-05-12,2022-06-04,Packaging,Delivered,494,35.98,32.76,5,Compliant
PO-00019,EpsilonMfg,2024-01-01,2024-02-05,Packaging,Delivered,353,40.82,38.45,6,Compliant
PO-00020,AlphaSupplies,2022-01-22,2022-01-29,Electronics,Delivered,127,482.13,442.16,0,Compliant
PO-00021,AlphaSupplies,2022-03-14,2022-04-03,Electronics,Delivered,152,487.34,450.16,3,Compliant
PO-00022,EpsilonMfg,2022-09-06,2022-09-19,Machinery,Delivered,423,2318.1,2084.9,0,Compliant
PO-00023,DeltaWorks,2023-11-21,2023-12-23,Raw Materials,Delivered,340,138.76,126.44,59,Non-Compliant
PO-00024,BetaCorp,2023-07-04,2023-08-09,Packaging,Delivered,226,39.3,36.53,7,Non-Compliant
PO-00025,EpsilonMfg,2022-02-21,2022-03-05,Raw Materials,Delivered,286,121.3,110.54,5,Compliant
PO-00026,DeltaWorks,2022-08-07,2022-09-07,Machinery,Delivered,472,2303.48,2055.16,0,Compliant
PO-00027,DeltaWorks,2023-03-10,,Electronics,Pending,384,525.89,477.14,51,Non-Compliant
PO-00028,BetaCorp,2022-10-31,2022-12-11,Packaging,Delivered,39,37.31,35.46,0,Compliant
PO-00029,DeltaWorks,2024-05-23,,Consumables,Pending,39,21.64,19.96,0,Compliant
PO-00030,EpsilonMfg,2023-11-23,2024-01-05,Raw Materials,Delivered,216,138.82,123.88,1,Compliant
PO-00031,DeltaWorks,2023-08-02,2023-08-29,Consumables,Delivered,488,20.33,18.76,27,Compliant
PO-00032,GammaTrade,2022-11-20,2022-12-26,Machinery,Delivered,489,2355.05,2087.52,24,Compliant
PO-00033,EpsilonMfg,2023-06-03,2023-06-14,Packaging,Delivered,487,39.04,36.94,8,Compliant
PO-00034,EpsilonMfg,2023-09-19,2023-09-26,Electronics,Delivered,423,547.73,482.82,5,Compliant
PO-00035,AlphaSupplies,2022-09-28,2022-10-14,Packaging,Delivered,64,37.05,35.55,0,Compliant
PO-00036,BetaCorp,2023-06-02,,Electronics,Pending,473,535.28,495.67,3,Compliant
PO-00037,GammaTrade,2022-01-04,2022-01-27,Raw Materials,Delivered,76,120.08,112.88,0,Compliant
PO-00038,EpsilonMfg,2022-04-25,2022-05-11,Raw Materials,Delivered,462,122.92,118.4,5,Compliant
PO-00039,BetaCorp,2022-05-11,,Machinery,Cancelled,196,2261.14,2184.71,21,Non-Compliant
PO-00040,GammaTrade,2023-11-30,2024-01-11,Packaging,Delivered,62,40.55,38.42,4,Compliant
PO-00041,BetaCorp,2024-06-04,2024-07-20,Packaging,Partial,419,42.18,40.3,1,Compliant
PO-00042,GammaTrade,2024-04-01,2024-04-25,Machinery,Delivered,386,2615.79,2379.58,4,Compliant
PO-00043,AlphaSupplies,2022-08-16,2022-09-11,Machinery,Delivered,480,2307.86,2197.08,15,Compliant
PO-00044,BetaCorp,2022-12-03,,Machinery,Pending,45,2361.52,2231.4,1,Compliant
PO-00045,DeltaWorks,2022-12-06,,Consumables,Pending,69,19.33,17.12,4,Compliant
PO-00046,GammaTrade,2022-04-22,2022-05-19,Raw Materials,Delivered,186,122.84,112.56,6,Non-Compliant
PO-00047,EpsilonMfg,2022-09-18,2022-10-29,Packaging,Delivered,233,36.97,35.71,3,Compliant
PO-00048,BetaCorp,2023-03-18,,Electronics,Pending,350,526.77,507.65,30,Compliant
PO-00049,AlphaSupplies,2023-06-04,2023-06-29,Electronics,Delivered,219,535.51,504.56,4,Compliant
PO-00050,DeltaWorks,2023-09-23,2023-09-30,Packaging,Delivered,217,39.97,36.72,15,Compliant
PO-00051,EpsilonMfg,2023-04-22,2023-05-29,Electronics,Delivered,355,530.68,493.64,5,Compliant
PO-00052,AlphaSupplies,2023-06-12,2023-07-04,Electronics,Delivered,327,536.41,488.29,8,Compliant
PO-00053,AlphaSupplies,2022-09-08,2022-09-19,Raw Materials,Delivered,322,126.5,111.5,5,Compliant
PO-00054,DeltaWorks,2023-02-14,2023-03-12,Machinery,Partial,345,2398.15,2273.45,64,Compliant
PO-00055,EpsilonMfg,2022-02-21,2022-03-29,Machinery,Delivered,479,2223.79,2045.44,1,Compliant
PO-00056,EpsilonMfg,2022-11-21,2022-12-30,Consumables,Delivered,466,19.27,17.04,3,Compliant
PO-00057,BetaCorp,2023-04-06,2023-05-13,Machinery,Partial,136,2424.07,2294.87,14,Compliant
PO-00058,BetaCorp,2023-03-27,2023-04-24,Electronics,Delivered,156,527.77,508.24,6,Compliant
PO-00059,BetaCorp,2023-12-12,2024-01-14,Machinery,Delivered,119,2555.28,2443.36,5,Compliant
PO-00060,DeltaWorks,2024-02-28,2024-04-11,Machinery,Delivered,366,2597.65,2383.08,33,Compliant
